purchase_date,item_name,item_price,顧客名,かな,地域,メールアドレス,登録日
201906,商品A,100.0,深井菜々美,ふかい ななみ,C市,fukai_nanami@example.com,2017-01-26
201905,商品A,100.0,松川綾女,まつかわ あやめ,E市,matsukawa_ayame@example.com,2018-07-23
201906,商品A,100.0,板橋隆,いたばし たかし,B市,itabashi_takashi@example.com,2018-06-14
201906,商品A,100.0,小平陽子,こひら ようこ,B市,kohira_youko@example.com,2018-01-21
201902,商品A,100.0,松田浩正,まつだ ひろまさ,E市,matsuda_hiromasa@example.com,2018-01-11
201902,商品A,100.0,楠哲平,くすのき てっぺい,E市,kusunoki_teppei@example.com,2017-01-04
201903,商品A,100.0,西脇礼子,にしわき れいこ,H市,nishiwaki_reiko@example.com,2017-07-08
201903,商品A,100.0,浅見広司,あさみ こうじ,D市,asami_kouji@example.com,2018-06-05
201903,商品A,100.0,赤木だん吉,あかぎ だんきち,F市,akagi_dankichi@example.com,2018-07-16
201902,商品A,100.0,手塚雅之,てづか まさゆき,E市,teduka_masayuki@example.com,2017-07-05
201902,商品A,100.0,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
201905,商品A,100.0,八木雅彦,やぎ まさひこ,B市,yagi_masahiko@example.com,2017-04-18
201903,商品A,100.0,片瀬長利,かたせ ながとし,C市,katase_nagatoshi@example.com,2018-05-03
201901,商品A,100.0,藤広之,ふじ ひろゆき,G市,fuji_hiroyuki@example.com,2017-02-20
201904,商品A,100.0,河村由樹,かわむら ゆき,C市,kawamura_yuki@example.com,2017-03-17
201902,商品A,100.0,赤木愛梨,あかぎ あいり,F市,akagi_airi@example.com,2018-07-29
201901,商品A,100.0,今茜,こん あかね,F市,kon_akane@example.com,2018-05-20
201903,商品A,100.0,石川まさみ,いしかわ まさみ,G市,ishikawa_masami@example.com,2018-02-12
201904,商品A,100.0,堀北雅彦,ほりきた まさひこ,H市,horikita_masahiko@example.com,2017-05-05
201907,商品A,100.0,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10
201901,商品A,100.0,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07
201906,商品A,100.0,高沢美咲,たかさわ みさき,E市,takasawa_misaki@example.com,2018-01-24
201907,商品A,100.0,楠哲平,くすのき てっぺい,E市,kusunoki_teppei@example.com,2017-01-04
201905,商品A,100.0,楠哲平,くすのき てっぺい,E市,kusunoki_teppei@example.com,2017-01-04
201902,商品A,100.0,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23
201907,商品A,100.0,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07
201906,商品A,100.0,古川信吾,ふるかわ しんご,D市,furukawa_shingo@example.com,2018-01-12
201904,商品A,100.0,林勇,はやし ゆう,C市,hayashi_yuu@example.com,2018-07-28
201906,商品A,100.0,深井菜々美,ふかい ななみ,C市,fukai_nanami@example.com,2017-01-26
201907,商品A,100.0,矢部夏空,やべ そら,F市,yabe_sora@example.com,2017-03-25
201907,商品A,100.0,林勇,はやし ゆう,C市,hayashi_yuu@example.com,2018-07-28
201907,商品A,100.0,井上桃子,いのうえ ももこ,F市,inoue_momoko@example.com,2018-06-18
201907,商品A,100.0,岡村希,おかむら のぞみ,H市,okamura_nozomi@example.com,2018-05-19
201905,商品A,100.0,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
201905,商品A,100.0,日野夏希,ひの なつき,A市,hino_natsuki@example.com,2017-05-23
201904,商品A,100.0,志村サダヲ,しむら さだお,E市,shimura_sadawo@example.com,2017-02-07
201905,商品A,100.0,島崎礼子,しまざき れいこ,C市,shimazaki_reiko@example.com,2017-02-18
201901,商品A,100.0,堀内聡,ほりうち さとし,B市,horiuchi_satoshi@example.com,2018-05-15
201905,商品A,100.0,島英嗣,しま ひでつぐ,D市,shima_hidetsugu@example.com,2018-02-02
201904,商品A,100.0,根本博明,ねもと ひろあき,E市,nemoto_hiroaki@example.com,2017-07-02
201906,商品A,100.0,岡田敏也,おかだ としや,E市,okada_toshiya@example.com,2017-02-18
201906,商品A,100.0,小川美菜,おがわ みな,G市,ogawa_mina@example.com,2017-05-05
201903,商品A,100.0,井川里穂,いがわ りほ,A市,igawa_riho@example.com,2017-04-13
201905,商品A,100.0,島袋友以乃,しまぶくろ ゆいの,C市,shimabukuro_yuino@example.com,2018-04-14
201902,商品A,100.0,榎本薫,えのもと かおる,C市,enomoto_kaoru@example.com,2017-06-17
201901,商品A,100.0,石崎幸子,いしざき さちこ,F市,ishizaki_sachiko@example.com,2017-06-12
201902,商品A,100.0,岩井莉緒,いわい りお,F市,iwai_rio@example.com,2018-05-27
201906,商品A,100.0,笹原しぼり,ささはら しぼり,E市,sasahara_shibori@example.com,2017-05-16
201907,商品A,100.0,井本マサカズ,いもと まさかず,C市,imoto_masakazu@example.com,2017-04-06
201907,商品A,100.0,黄川田博之,きかわだ ひろゆき,C市,kikawada_hiroyuki@example.com,2018-02-14
201901,商品A,100.0,吉村愛梨,よしむら あいり,C市,yoshimura_airi@example.com,2017-03-23
201904,商品A,100.0,鶴岡薫,つるおか かおる,F市,tsuruoka_kaoru@example.com,2017-03-12
201904,商品A,100.0,杉田将也,すぎた まさや,A市,sugita_masaya@example.com,2018-04-18
201903,商品A,100.0,田畑正敏,たばた まさとし,A市,tabata_masatoshi@example.com,2018-02-06
201905,商品A,100.0,小川美菜,おがわ みな,G市,ogawa_mina@example.com,2017-05-05
201903,商品A,100.0,赤木愛梨,あかぎ あいり,F市,akagi_airi@example.com,2018-07-29
201907,商品A,100.0,松川綾女,まつかわ あやめ,E市,matsukawa_ayame@example.com,2018-07-23
201905,商品A,100.0,笹川照生,ささがわ てるお,F市,sasagawa_teruo@example.com,2017-04-08
201903,商品A,100.0,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07
201906,商品A,100.0,香椎優一,かしい ゆういち,H市,kashii_yuuichi@example.com,2017-06-12
201902,商品A,100.0,市田寿明,いちだ としあき,E市,ichida_toshiaki@example.com,2017-04-10
201904,商品A,100.0,松川綾女,まつかわ あやめ,E市,matsukawa_ayame@example.com,2018-07-23
201902,商品A,100.0,南部慶二,なんぶ けいじ,A市,nannbu_keiji@example.com,2018-06-19
201907,商品A,100.0,鶴岡薫,つるおか かおる,F市,tsuruoka_kaoru@example.com,2017-03-12
201901,商品A,100.0,梅沢麻緒,うめざわ まお,A市,umezawa_mao@example.com,2017-06-20
201904,商品A,100.0,合田光,あいだ ひかる,D市,aida_hikaru@example.com,2018-05-22
201906,商品A,100.0,板橋隆,いたばし たかし,B市,itabashi_takashi@example.com,2018-06-14
201902,商品A,100.0,金森なつみ,かなもり なつみ,F市,kanamori_natsumi@example.com,2018-03-24
201903,商品A,100.0,高梨結衣,たかなし ゆい,C市,takanashi_yui@example.com,2018-05-21
201904,商品A,100.0,小口豊,おぐち ゆたか,H市,oguchi_yutaka@example.com,2018-02-28
201902,商品A,100.0,佐藤慶二,さとう けいじ,E市,satou_keiji@example.com,2017-07-10
201902,商品A,100.0,片瀬長利,かたせ ながとし,C市,katase_nagatoshi@example.com,2018-05-03
201904,商品A,100.0,鈴木一哉,すずき かずや,C市,suzuki_kazuya@example.com,2017-04-09
201901,商品A,100.0,石田佑,いしだ たすく,E市,ishida_tasuku@example.com,2018-05-12
201904,商品A,100.0,深井菜々美,ふかい ななみ,C市,fukai_nanami@example.com,2017-01-26
201904,商品A,100.0,矢部美幸,やべ みゆき,F市,yabe_miyuki@example.com,2017-05-27
201907,商品A,100.0,麻生莉緒,あそう りお,D市,asou_rio@example.com,2018-07-22
201905,商品A,100.0,榊原しぼり,さかきばら しぼり,D市,sakakibara_shibori@example.com,2017-03-13
201903,商品A,100.0,堀江佑,ほりえ たすく,H市,horie_tasuku@example.com,2018-05-14
201905,商品A,100.0,志村サダヲ,しむら さだお,E市,shimura_sadawo@example.com,2017-02-07
201905,商品A,100.0,石渡小雁,いしわたり こがん,D市,ishiwatari_kogan@example.com,2017-07-28
201906,商品A,100.0,若杉徹,わかすぎ とおる,G市,wakasugi_tohru@example.com,2017-03-26
201906,商品A,100.0,内田聡,うちだ さとし,E市,uchida_satoshi@example.com,2018-03-08
201903,商品A,100.0,吉村愛梨,よしむら あいり,C市,yoshimura_airi@example.com,2017-03-23
201905,商品A,100.0,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28
201905,商品A,100.0,影山輝信,かげやま あきのぶ,A市,kageyama_akinobu@example.com,2017-01-23
201901,商品A,100.0,西原未華子,にしはら みかこ,C市,nishihara_mikako@example.com,2018-05-18
201901,商品A,100.0,島英嗣,しま ひでつぐ,D市,shima_hidetsugu@example.com,2018-02-02
201901,商品A,100.0,梅村秀樹,うめむら ひでき,F市,umemura_hideki@example.com,2017-04-01
201906,商品A,100.0,本橋直人,もとはし なおと,F市,motohashi_naoto@example.com,2017-03-03
201907,商品A,100.0,和泉直人,わいずみ なおと,H市,waizumi_naoto@example.com,2018-06-10
201901,商品A,100.0,立石茜,たちいし あかね,B市,tachiishi_akane@example.com,2018-02-10
201902,商品A,100.0,河内さとみ,かわうち さとみ,E市,kawauchi_satomi@example.com,2017-01-21
201903,商品A,100.0,井上桃子,いのうえ ももこ,F市,inoue_momoko@example.com,2018-06-18
201902,商品A,100.0,石野仁,いしの じん,E市,ishino_jin@example.com,2017-04-07
201905,商品A,100.0,高田さんま,たかだ さんま,D市,takada_sanma@example.com,2017-06-16
201901,商品A,100.0,唐沢景子,からさわ けいこ,D市,karasawa_keiko@example.com,2018-05-02
201907,商品A,100.0,白鳥りえ,しらとり りえ,F市,shiratori_rie@example.com,2017-04-29
201902,商品A,100.0,菅原誠治,すがわら せいじ,C市,sugawara_seiji@example.com,2018-06-28
201904,商品A,100.0,清水佑,しみず たすく,G市,shimizu_tasuku@example.com,2018-02-17
201907,商品A,100.0,田崎菜々美,たざき ななみ,A市,tazaki_nanami@example.com,2018-07-29
201906,商品A,100.0,沖遥,おき はるか,B市,oki_haruka@example.com,2018-07-21
201907,商品A,100.0,丸山光臣,まるやま みつおみ,G市,maruyama_mitsuomi@example.com,2017-01-30
201902,商品A,100.0,岩佐孝太郎,いわさ こうたろう,D市,iwasa_koutarou@example.com,2018-01-29
201902,商品A,100.0,川上りえ,かわかみ りえ,G市,kawakami_rie@example.com,2017-06-20
201906,商品A,100.0,小栗正義,おぐり まさよし,G市,oguri_masayoshi@example.com,2017-07-05
201907,商品A,100.0,原口俊二,はらぐち しゅんじ,F市,haraguchi_shunji@example.com,2018-03-05
201901,商品A,100.0,稲田将也,いなだ まさや,G市,inada_masaya@example.com,2017-02-05
201901,商品A,100.0,小平陽子,こひら ようこ,B市,kohira_youko@example.com,2018-01-21
201906,商品A,100.0,根岸莉央,ねぎし りお,G市,negishi_rio@example.com,2018-06-29
201903,商品A,100.0,日比野徹,ひびの とおる,C市,hibino_tohru@example.com,2018-02-22
201903,商品A,100.0,丸山光臣,まるやま みつおみ,G市,maruyama_mitsuomi@example.com,2017-01-30
201905,商品A,100.0,深井照生,ふかい てるお,A市,fukai_teruo@example.com,2018-02-21
201904,商品A,100.0,相川良介,あいかわ りょうすけ,B市,aikawa_ryousuke@example.com,2017-07-03
201906,商品A,100.0,平田鉄二,ひらた てつじ,D市,hirata_tetsuji@example.com,2017-06-07
201901,商品A,100.0,稲田将也,いなだ まさや,G市,inada_masaya@example.com,2017-02-05
